Solution ID,Accuracy (%),Infer Time (ms),Params (K),NN-Distance (normed)
1,90.78,0.936,879.1,0.1737
2,90.18,0.532,216.3,0.1673
3,88.14,0.311,106.0,0.178
4,89.44,0.389,106.0,0.0175
5,87.68,0.221,201.6,0.3372
6,90.72,0.826,879.1,0.1737
7,89.28,0.356,106.0,0.0229
8,88.54,0.346,106.0,0.178
9,90.64,0.588,421.8,0.1945
10,90.02,0.415,1608.8,1.0375
11,89.12,0.313,402.5,0.0253
12,89.94,0.472,115.3,0.0605
13,89.42,0.381,106.0,0.0175
14,89.06,0.309,403.0,0.0253
15,89.2,0.321,403.0,0.0372
16,88.98,0.225,201.6,0.0157
17,89.24,0.349,106.0,0.0229
18,90.04,0.492,115.3,0.0605
19,89.66,0.36,207.0,0.0532
20,89.02,0.255,403.0,0.0891
21,89.56,0.345,207.0,0.0532
22,89.0,0.232,201.6,0.0157
23,90.46,0.491,421.8,0.1945
